gene_name	CN_high	n_cells_high	median_SCT_count_high	mean_SCT_count_high	CN_low	n_cells_low	median_SCT_count_low	mean_SCT_count_low	mean_expected_high	log10_abs_diff	highlight
FOS	5	16	182.5	1347.6875	4	41	149	1568.85365853659	1961.06707317073	2.78772930896804	FALSE
PDIA3	5	16	1681.5	1631.0625	4	50	823.5	816.06	1020.075	2.78603232524001	FALSE
MAGEA4	2	33	0	47.5454545454545	1	95	244	324.494736842105	648.989473684211	2.77919521054444	FALSE
DNM3OS	6	19	412	597.736842105263	3	43	538	597.348837209302	1194.6976744186	2.77594583721277	FALSE
PRRC2C	4	47	250	303.893617021277	3	43	170	672.46511627907	896.62015503876	2.77285437224752	FALSE
SPARC	3	41	566	832.09756097561	2	89	597	942.426966292135	1413.6404494382	2.76458174922059	FALSE
ANXA2	5	14	1412	1682.85714285714	3	56	441	665.446428571429	1109.07738095238	2.75874522594537	FALSE
DLK1	4	52	1356	2251.71153846154	3	54	753	1268.55555555556	1691.40740740741	2.7484238244797	FALSE
RPL4	4	53	1934	2106.64150943396	3	56	1098	1161.58928571429	1548.78571428571	2.74652194899991	FALSE
COL14A1	7	23	313	446.565217391304	5	24	331.5	716.666666666667	1003.33333333333	2.74567435687026	FALSE
RPL31	5	26	3395	3647.07692307692	3	10	2423.5	2519	4198.33333333333	2.74135365267599	FALSE
RPS15A	4	16	920.5	854.8125	2	41	680	701.341463414634	1402.68292682927	2.73867785854479	FALSE
CTHRC1	7	11	2064	2794.36363636364	5	45	1738	2382.73333333333	3335.82666666667	2.73356880946826	FALSE
DNMT3A	4	11	99	636.818181818182	2	36	26.5	49.8333333333333	99.6666666666667	2.73009680509042	FALSE
DLK1	5	17	1353	2283.23529411765	4	52	1356	2251.71153846154	2814.63942307692	2.72542492451397	FALSE
LMNA	6	19	204	340.263157894737	3	43	262	435.674418604651	871.348837209302	2.72516459085895	FALSE
GAS5	6	19	1420	1561.47368421053	4	47	1195	1390.82978723404	2086.24468085106	2.71996982418192	FALSE
DNMT3A	4	11	99	636.818181818182	3	83	9	96.1807228915663	128.240963855422	2.70635690178019	FALSE
RPS3A	3	49	2451	2401.30612244898	2	79	1920	1936.91139240506	2905.36708860759	2.70248306752686	FALSE
